,date,team_id,team_points_total,3P%,3P_made,FG%,FG_made,Total_Reb,team_Ast,WinPct
0,2007-04-18,29,101,0.36363636363636365,4,0.4931506849315068,36,45,23,100.0
1,2007-04-18,28,119,0.3684210526315789,7,0.5348837209302325,46,33,32,0.0
2,2007-04-18,21,75,0.14285714285714285,1,0.42028985507246375,29,31,13,0.0
3,2007-04-18,27,77,0.25,5,0.35802469135802467,29,39,14,0.0
4,2007-04-18,26,106,0.28,7,0.4819277108433735,40,30,21,0.0
5,2007-04-18,25,98,0.14285714285714285,2,0.42857142857142855,33,39,22,0.0
6,2007-04-18,22,94,0.35294117647058826,6,0.4430379746835443,35,52,23,100.0
7,2007-04-18,3,106,0.3076923076923077,8,0.45569620253164556,36,49,27,100.0
8,2007-04-18,18,94,0.3125,5,0.3958333333333333,38,42,20,0.0
9,2007-04-21,28,91,0.3684210526315789,7,0.4125,33,42,19,0.0
10,2007-04-21,11,84,0.3333333333333333,9,0.391304347826087,27,46,19,50.0
11,2007-04-21,9,100,0.35714285714285715,5,0.4931506849315068,36,33,29,100.0
12,2007-04-21,5,96,0.17647058823529413,3,0.4268292682926829,35,46,27,50.0
13,2007-04-22,27,89,0.3333333333333333,8,0.42045454545454547,37,35,22,0.0
14,2007-04-22,24,95,0.2608695652173913,6,0.42857142857142855,36,40,18,100.0
15,2007-04-22,7,85,0.3157894736842105,6,0.35294117647058826,30,50,16,50.0
16,2007-04-22,6,97,0.21428571428571427,3,0.4444444444444444,32,46,16,100.0
17,2007-04-23,11,98,0.16666666666666666,4,0.3614457831325301,30,50,15,66.66666666666666
18,2007-04-23,9,98,0.42105263157894735,8,0.41025641025641024,32,44,22,100.0
19,2007-04-24,28,89,0.4,6,0.40789473684210525,31,44,12,33.33333333333333
20,2007-04-24,24,126,0.4230769230769231,11,0.5434782608695652,50,45,30,100.0
21,2007-04-24,5,107,0.6470588235294118,11,0.5512820512820513,43,38,28,66.66666666666666
22,2007-04-25,27,97,0.42857142857142855,6,0.4375,35,44,20,33.33333333333333
23,2007-04-25,7,112,0.0625,1,0.4868421052631579,37,41,15,66.66666666666666
24,2007-04-25,6,109,0.25,3,0.47619047619047616,40,56,20,100.0
25,2007-04-26,29,81,0.13333333333333333,2,0.38823529411764707,33,44,19,50.0
26,2007-04-26,22,77,0.375,3,0.4189189189189189,31,39,16,25.0
27,2007-04-26,14,95,0.3333333333333333,5,0.41975308641975306,34,44,15,50.0
